"""Stiftungsverzeichnis Mecklenburg-Vorpommern Nummer 18439"""
"01880430723, Finanzamt Fulda"
27844
278486132
27849
278519322
278656259
2787
278751670
278799537
2788
278908779
279 03 459 005 1123
279 112 0400
279 113 0111
279 113 0412
279 128 0358
279 132 0407
279 134 0500
2790
27900
27911
279162023
27924
279358416
279449
27953
2796
279702 (München)
279778402
27989 P
28
28/59316/00255
2801004302847
2801004813000
2801005005652
2801013600447
2801018045155
2801018135702
2801020112010
2801020114501
2801022726506
28020
2802000207722
2802000304104
2802002936807
28022538942
280351661071
280368935
2804009314355
2804009769050
2804012904108
2804013220512
2804014529011
2804019613502
2804022112858
2804023800533
2804026620013
280417528514
280429301708
280489978
2805002001180
2805002001613
2805002002333
2805002002630
2805002003045
2805002003270
2805002006554
2805002008074
2805002200904
2805003802366
2805003804569
2805005209465
2805005216538
2805005222239
2805005701933
2805006903350
2805006904055
2805006909809
2805006922234
2805007001634
2805007005508
2805007300259
2805007302997
2805007500743
2805007600570
2805007600764
2805007700826
2805007704047
2805007704666
2805007900163
2805007902279
2805008002337
2805008006094
2805008400317
2805008801409
2805008802258
2805008802492
2805008900824
2805008901236
2805008903287
2805009104420
2805009711932
2805010230265
2805011023008
2805013109035
2805013328020
2805013401015
2805014109556
2805014500414
2805016400181
2805016824657
2805019014506
280502002333
2805020907515
2805021434821
2805021438019
2805022534013
2805023700252
2805024112020
2805025018021
2805025308013
2805026004015
2805026434107
2805027520300
2805028928009
2805029521003
2805030630099
2805035505502
2805035715520
2805036814507
2805037503323
2805037916503
2805042522016
2805042600560
2805043325101
2805045947019
2805046044488
2805046313401
2805046931003
2805047204012
2805048502419
280505001530
280505219880
280505701917
280507006743
280507006801
280507302891
280507400061
280507500956
280507702300
280507900163
280508400317
280509708483
280509711836
280511838503
280523034714
280524524001
280525210609
280530122017
280533411015
280535320508
280537013504
280543450500
280546125498
280546717502
280550790016
28059
2806000541184
2806000744178
2806000859356
2806001655950
2806002042911
2806003340225
2806003347020
2806003347079
2806004340257
2806004360506
2806005152509
2806005651724
2806006351009
2806006440268
2806007844879
2806008862464
2806009349001
2806009744427
280600974447
2806009755893
2806010844251
2806010943463
2806011556701
2806011947343
2806012156361
2806012159782
2806014245207
2806014351563
2806014640535
2806014843812
2806015256881
2806017350753
2806017650711
2806018200635
2806018448463
2806019047340
2806019959946
2806022045512
2806022243463
2806022957142
2806023856308
2806027441351
2806028746218
2806029357993
2806030949553
2806033151847
2806033746622
2806034342038
2806034540385
280603545378
2806035651375
2806035847779
2806036148522
2806036542101
2806037344149
2806038344002
2806038402503
2806038431002
2806038494006
2806038711006
2806038746008
2806038763006
2806038764007
2806038963005
2806039025005
2806039154005
2806039339004
2806039357006
2806039370002
2806039411006
2806039811000
2806039834007
2806039842007
2806040106003
2806040303008
2806040542242
2806040640948
2806040741024
2806040743293
2806040841931
2806040842262
2806040842656
2806040941821
2806040942304
2806040943530
2806041042252
2806041042404
2806041140711
2806041241018
2806041541977
2806041641454
2806041641884
2806041642182
2806041643271
2806041841164
2806042142271
2806042142528
2806042341488
2806042542353
2806042640380
2806042841331
2806043041651
2806043140533
2806043340954
2806043541544
2806043641106
2806043641171
2806043641460
2806043842604
2806043942230
2806044040805
2806044042025
2806044142245
2806044143213
2806044143957
2806044240193
2806044442257
2806044443483
2806044444218
2806044542754
2806044543538
2806044643324
2806044741949
280604484060
2806044840601
2806044841091
2806044841196
2806044841589
2806044842314
2806044843532
2806044943255
2806045041311
2806045642113
2806045742672
2806045840846
2806045940285
2806046040958
2806046141733
2806046144157
2806046240221
2806046440374
2806046442005
2806046641588
2806046741438
2806046741922
2806046742003
2806046743205
2806046805010
2806046943446
2806046943470
2806047012355
2806047051008
2806047141074
2806047141161
2806047160686
2806047160774
2806048265066
2806048275859
280605154778
280606149368
280609052246
280609155155
280615643640
280619854431
280622552744
280623743849
280623754778
280623841497
280623862595
280625348121
280627848184
280629847793
280630648842
280633644055
280633746622
280634047940
280634048888
280635849505
280637243902
280637243910
280638144827
280638417500
280638838002
280639226006
280639536503
280639837009
280639848003
280639851009
280640106003
280640542733
280640543437
280641043204
280641140729
280641641884
280641740272
280642043404
280642843165
280643342559
280643643868
280643841443
280644141906
280644543409
280644643043
280645541623
280646742173
28070
2807000206250
2807000364002
2807000375006
2807000376008
2807000383006
2807000407258
2807000414104
2807000618504
2807000626756
2807000630253
2807000636041
2807000715008
2807000726509
2807000736004
2807000747779
2807001112002
2807001155004
280700118009
2807001216883
2807001233002
2807001234003
2807001237624
2807001542905
2807001548007
2807001727652
2807001768400
2807001782257
2807002003005
280700213708
2807002318006
2807002320000
2807002328016
2807002353000
2807002353515
2807002409757
2807002423505
2807002436004
2807002445004
2807002512125
2807002527758
2807002528252
2807002710508
2807002711509
2807002726000
2807002730005
2807002933007
280700338875
2807003409601
280700376008
2807005000880
2807005001139
2807005400993
2807005602173
2807006002034
2807006002170
2807006002219
2807006600201
2807007600187
2807007601067
2807007601485
2807007601961
2807007800129
2807007800304
280701155004
280701644554
2807019403117
2807019503671
2807019514360
2807019514417
2807019514538
280702123406
2807023131880
280702329009
2807024843259
2807026072629
280702724504
2807029400091
2807029500090
2807029502678
2807029935814
2807031900173
2807032514202
2807032615151
2807033219901
2807034315302
2807034316806
2807035013824
2807035110243
2807035641014
2807035755023
2807036144402
2807037625406
2807037815833
2807038124623
2807038211020
2807039129024
2807040031917
2807043410005
2807043426648
2807043519003
2807047921452
2807049042200
2807049508181
280705201685
280705600251
280705800092
280706600629
280706602316
2807070272650
280719514257
280719514360
280719514600
280723165425
280729501636
280729502121
280729502507
280731916204
280736248009
280740029403
280745733217
280745739810
2808011813607
2808014037993
2808014540402
2808015008809
2808015826424
2808017306403
2808017700064
2808019328013
2808023636091
2808025017603
2808026104008
2808028400055
2808028700213
2808033125609
2808034000076
2808034419323
2808036700393
280808001212
280810234475
280812500245
280813829018
280815128816
280824401604
280825022400
280830526406
280833815202
280834000076
280836710505
280840205007
280897058
2809/126/40203
2809003013605
2809003715248
2809003716650
2809003816470
2809004200428
2809004201741
2809004202203
2809004202252
2809004205673
2809004210333
2809004210559
2809004210567
2809004401242
2809004601125
2809004602657
2809004607017
2809004614678
2809004616931
2809004617719
2809004618158
2809004618894
2809004619021
2809004800252
2809004801931
2809004802367
2809004802851
2809004803013
2809004803909
2809004807103
2809004809700
2809004810917
2809004811014
2809004811184
2809004811481
2809004811595
2809004811617
2809004812007
2809004812216
2809004813902
2809004813985
2809004814694
2809004815865
2809004815945
2809004820789
2809004900713
2809004902806
2809005000170
2809005800001
2809005800228
2809005800939
2809005801036
2809005801069
2809006901464
2809006902887
2809006905571
2809008000862
2809008010515
2809008020043
2809008020211
2809010122802
2809010509602
2809010837805
2809012118609
2809013215659
2809013849200
2809014723405
2809016005244
2809016242023
2809016370802
2809017244627
2809018669007
2809019235407
2809019270888
2809019900025
2809020244405
2809020420020
2809021505404
2809021629207
2809022685800
2809023027009
2809024602429
2809025133603
2809025315813
2809025554017
2809027251617
2809027327619
2809027336612
2809027434819
2809028024010
2809028557008
2809028611401
2809029106606
2809029227613
280903715071
280904209628
280904210559
280904602499
280904602811
280904607017
280904802262
280904813361
280904814694
2809048746617
280905100004
280905800775
280906907660
